rank,product,metric,week_index,week_start,actual,point,with_safety_30pct,point_err,safety_err
5,Belgium Choco Mousse Cake,qty,12,2026-06-01,18.0,25.60622765584482,33.28809595259827,7.606227655844819,15.288095952598269
5,Belgium Choco Mousse Cake,qty,13,2026-06-08,15.0,25.60622765584482,33.28809595259827,10.606227655844819,18.28809595259827
6,Biscoff Jar Cake,totalValue,1,2026-01-19,3514.26,5289.924462128128,6876.901800766566,1775.6644621281275,3362.641800766566
6,Biscoff Jar Cake,totalValue,2,2026-01-26,3514.26,5289.924462128128,6876.901800766566,1775.6644621281275,3362.641800766566
6,Biscoff Jar Cake,totalValue,3,2026-02-02,7028.52,5289.924462128128,6876.901800766566,-1738.5955378718727,-151.6181992334341
6,Biscoff Jar Cake,totalValue,4,2026-02-09,7028.52,5289.924462128128,6876.901800766566,-1738.5955378718727,-151.6181992334341
6,Biscoff Jar Cake,totalValue,5,2026-02-16,3514.26,5289.924462128128,6876.901800766566,1775.6644621281275,3362.641800766566
6,Biscoff Jar Cake,totalValue,6,2026-02-23,5271.39,5289.924462128128,6876.901800766566,18.534462128127416,1605.511800766566
6,Biscoff Jar Cake,totalValue,7,2026-03-02,8196.49,5289.924462128128,6876.901800766566,-2906.565537871872,-1319.5881992334334
6,Biscoff Jar Cake,totalValue,8,2026-03-09,4113.5199999999995,5289.924462128128,6876.901800766566,1176.4044621281282,2763.381800766567
6,Biscoff Jar Cake,totalValue,9,2026-03-16,6469.66,5289.924462128128,6876.901800766566,-1179.735537871872,407.2418007665665
6,Biscoff Jar Cake,totalValue,10,2026-03-23,3603.67,5289.924462128128,6876.901800766566,1686.2544621281277,3273.2318007665663
6,Biscoff Jar Cake,totalValue,11,2026-03-30,6559.570000000001,5289.924462128128,6876.901800766566,-1269.6455378718729,317.3318007665657
6,Biscoff Jar Cake,totalValue,12,2026-04-06,4164.110000000001,5289.924462128128,6876.901800766566,1125.8144621281272,2712.7918007665658
6,Biscoff Jar Cake,totalValue,13,2026-04-13,3162.85,5289.924462128128,6876.901800766566,2127.074462128128,3714.0518007665664
6,Biscoff Jar Cake,qty,1,2026-01-19,36.0,54.256526500446085,70.53348445057992,18.256526500446085,34.53348445057992
6,Biscoff Jar Cake,qty,2,2026-01-26,36.0,54.256526500446085,70.53348445057992,18.256526500446085,34.53348445057992
6,Biscoff Jar Cake,qty,3,2026-02-02,72.0,54.256526500446085,70.53348445057992,-17.743473499553915,-1.4665155494200803
6,Biscoff Jar Cake,qty,4,2026-02-09,72.0,54.256526500446085,70.53348445057992,-17.743473499553915,-1.4665155494200803
6,Biscoff Jar Cake,qty,5,2026-02-16,36.0,54.256526500446085,70.53348445057992,18.256526500446085,34.53348445057992
6,Biscoff Jar Cake,qty,6,2026-02-23,54.0,54.256526500446085,70.53348445057992,0.2565265004460855,16.53348445057992
6,Biscoff Jar Cake,qty,7,2026-03-02,84.0,54.256526500446085,70.53348445057992,-29.743473499553915,-13.46651554942008
6,Biscoff Jar Cake,qty,8,2026-03-09,42.0,54.256526500446085,70.53348445057992,12.256526500446085,28.53348445057992
6,Biscoff Jar Cake,qty,9,2026-03-16,66.0,54.256526500446085,70.53348445057992,-11.743473499553915,4.53348445057992
6,Biscoff Jar Cake,qty,10,2026-03-23,36.0,54.256526500446085,70.53348445057992,18.256526500446085,34.53348445057992
6,Biscoff Jar Cake,qty,11,2026-03-30,66.0,54.256526500446085,70.53348445057992,-11.743473499553915,4.53348445057992
6,Biscoff Jar Cake,qty,12,2026-04-06,42.0,54.256526500446085,70.53348445057992,12.256526500446085,28.53348445057992
6,Biscoff Jar Cake,qty,13,2026-04-13,30.0,54.256526500446085,70.53348445057992,24.256526500446085,40.53348445057992
7,Dream Cake,totalValue,1,2026-03-16,6218.04,7345.902522243764,9549.673278916893,1127.862522243764,3331.633278916893
7,Dream Cake,totalValue,2,2026-03-23,2019.91,7345.902522243764,9549.673278916893,5325.992522243764,7529.763278916893
7,Dream Cake,totalValue,3,2026-03-30,6109.24,7345.902522243764,9549.673278916893,1236.6625222437642,3440.433278916893
7,Dream Cake,totalValue,4,2026-04-06,3105.1499999999996,7345.902522243764,9549.673278916893,4240.752522243764,6444.523278916893
7,Dream Cake,totalValue,5,2026-04-13,5186.9400000000005,7345.902522243764,9549.673278916893,2158.9625222437635,4362.733278916892
7,Dream Cake,totalValue,6,2026-04-20,5478.719999999999,7345.902522243764,9549.673278916893,1867.1825222437647,4070.9532789168934
7,Dream Cake,totalValue,7,2026-04-27,5522.08,7345.902522243764,9549.673278916893,1823.822522243764,4027.593278916893
7,Dream Cake,totalValue,8,2026-05-04,4960.72,7345.902522243764,9549.673278916893,2385.1825222437637,4588.9532789168925
7,Dream Cake,totalValue,9,2026-05-11,6017.3,7345.902522243764,9549.673278916893,1328.6025222437638,3532.3732789168926
7,Dream Cake,totalValue,10,2026-05-18,5887.9400000000005,7345.902522243764,9549.673278916893,1457.9625222437635,3661.7332789168922
7,Dream Cake,totalValue,11,2026-05-25,7775.549999999999,7345.902522243764,9549.673278916893,-429.6474777562353,1774.1232789168935
7,Dream Cake,totalValue,12,2026-06-01,3985.43,7345.902522243764,9549.673278916893,3360.472522243764,5564.243278916892
7,Dream Cake,totalValue,13,2026-06-08,4883.47,7345.902522243764,9549.673278916893,2462.4325222437637,4666.2032789168925
7,Dream Cake,qty,1,2026-03-16,36.0,38.42095440932543,49.94724073212306,2.4209544093254323,13.947240732123063
7,Dream Cake,qty,2,2026-03-23,12.0,38.42095440932543,49.94724073212306,26.420954409325432,37.94724073212306
7,Dream Cake,qty,3,2026-03-30,36.0,38.42095440932543,49.94724073212306,2.4209544093254323,13.947240732123063
7,Dream Cake,qty,4,2026-04-06,18.0,38.42095440932543,49.94724073212306,20.420954409325432,31.947240732123063
7,Dream Cake,qty,5,2026-04-13,30.0,38.42095440932543,49.94724073212306,8.420954409325432,19.947240732123063
7,Dream Cake,qty,6,2026-04-20,32.0,38.42095440932543,49.94724073212306,6.420954409325432,17.947240732123063
7,Dream Cake,qty,7,2026-04-27,34.0,38.42095440932543,49.94724073212306,4.420954409325432,15.947240732123063
7,Dream Cake,qty,8,2026-05-04,31.0,38.42095440932543,49.94724073212306,7.420954409325432,18.947240732123063
7,Dream Cake,qty,9,2026-05-11,36.0,38.42095440932543,49.94724073212306,2.4209544093254323,13.947240732123063
7,Dream Cake,qty,10,2026-05-18,34.0,38.42095440932543,49.94724073212306,4.420954409325432,15.947240732123063
7,Dream Cake,qty,11,2026-05-25,45.0,38.42095440932543,49.94724073212306,-6.579045590674568,4.947240732123063
7,Dream Cake,qty,12,2026-06-01,23.0,38.42095440932543,49.94724073212306,15.420954409325432,26.947240732123063
7,Dream Cake,qty,13,2026-06-08,28.0,38.42095440932543,49.94724073212306,10.420954409325432,21.947240732123063
8,Tiramisu Cake,totalValue,1,2026-03-16,3693.54,5179.421973166721,6733.248565116737,1485.8819731667209,3039.708565116737
8,Tiramisu Cake,totalValue,2,2026-03-23,2028.16,5179.421973166721,6733.248565116737,3151.261973166721,4705.088565116737
8,Tiramisu Cake,totalValue,3,2026-03-30,4425.76,5179.421973166721,6733.248565116737,753.6619731667206,2307.488565116737
8,Tiramisu Cake,totalValue,4,2026-04-06,3251.71,5179.421973166721,6733.248565116737,1927.7119731667208,3481.538565116737
8,Tiramisu Cake,totalValue,5,2026-04-13,4601.91,5179.421973166721,6733.248565116737,577.511973166721,2131.3385651167373
8,Tiramisu Cake,totalValue,6,2026-04-20,3423.0,5179.421973166721,6733.248565116737,1756.4219731667208,3310.248565116737
8,Tiramisu Cake,totalValue,7,2026-04-27,6671.49,5179.421973166721,6733.248565116737,-1492.068026833279,61.75856511673737
8,Tiramisu Cake,totalValue,8,2026-05-04,6684.2,5179.421973166721,6733.248565116737,-1504.778026833279,49.048565116737336
8,Tiramisu Cake,totalValue,9,2026-05-11,7426.36,5179.421973166721,6733.248565116737,-2246.938026833279,-693.1114348832625
8,Tiramisu Cake,totalValue,10,2026-05-18,6101.16,5179.421973166721,6733.248565116737,-921.738026833279,632.0885651167373
8,Tiramisu Cake,totalValue,11,2026-05-25,4777.27,5179.421973166721,6733.248565116737,402.1519731667204,1955.9785651167367
8,Tiramisu Cake,totalValue,12,2026-06-01,2685.69,5179.421973166721,6733.248565116737,2493.7319731667208,4047.558565116737
8,Tiramisu Cake,totalValue,13,2026-06-08,2977.35,5179.421973166721,6733.248565116737,2202.071973166721,3755.8985651167372
8,Tiramisu Cake,qty,1,2026-03-16,20.0,26.77072233062247,34.80193902980921,6.770722330622469,14.801939029809212
8,Tiramisu Cake,qty,2,2026-03-23,11.0,26.77072233062247,34.80193902980921,15.770722330622469,23.801939029809212
8,Tiramisu Cake,qty,3,2026-03-30,24.0,26.77072233062247,34.80193902980921,2.770722330622469,10.801939029809212
8,Tiramisu Cake,qty,4,2026-04-06,17.0,26.77072233062247,34.80193902980921,9.770722330622469,17.801939029809212
8,Tiramisu Cake,qty,5,2026-04-13,24.0,26.77072233062247,34.80193902980921,2.770722330622469,10.801939029809212
8,Tiramisu Cake,qty,6,2026-04-20,18.0,26.77072233062247,34.80193902980921,8.770722330622469,16.801939029809212
8,Tiramisu Cake,qty,7,2026-04-27,35.0,26.77072233062247,34.80193902980921,-8.229277669377531,-0.19806097019078805
8,Tiramisu Cake,qty,8,2026-05-04,35.0,26.77072233062247,34.80193902980921,-8.229277669377531,-0.19806097019078805
8,Tiramisu Cake,qty,9,2026-05-11,39.0,26.77072233062247,34.80193902980921,-12.229277669377531,-4.198060970190788
8,Tiramisu Cake,qty,10,2026-05-18,32.0,26.77072233062247,34.80193902980921,-5.229277669377531,2.801939029809212
8,Tiramisu Cake,qty,11,2026-05-25,25.0,26.77072233062247,34.80193902980921,1.770722330622469,9.801939029809212
8,Tiramisu Cake,qty,12,2026-06-01,14.0,26.77072233062247,34.80193902980921,12.770722330622469,20.801939029809212
8,Tiramisu Cake,qty,13,2026-06-08,16.0,26.77072233062247,34.80193902980921,10.770722330622469,18.801939029809212
9,Butterscotch Cake,totalValue,1,2026-03-16,3800.5699999999997,5662.317604018069,7361.012885223489,1861.747604018069,3560.4428852234896
9,Butterscotch Cake,totalValue,2,2026-03-23,294.02,5662.317604018069,7361.012885223489,5368.297604018069,7066.99288522349
9,Butterscotch Cake,totalValue,3,2026-03-30,2797.93,5662.317604018069,7361.012885223489,2864.387604018069,4563.08288522349
9,Butterscotch Cake,totalValue,4,2026-04-06,2425.27,5662.317604018069,7361.012885223489,3237.047604018069,4935.74288522349
9,Butterscotch Cake,totalValue,5,2026-04-13,2915.55,5662.317604018069,7361.012885223489,2746.7676040180686,4445.462885223489
9,Butterscotch Cake,totalValue,6,2026-04-20,2801.85,5662.317604018069,7361.012885223489,2860.467604018069,4559.16288522349
9,Butterscotch Cake,totalValue,7,2026-04-27,3551.04,5662.317604018069,7361.012885223489,2111.277604018069,3809.9728852234894
9,Butterscotch Cake,totalValue,8,2026-05-04,5955.29,5662.317604018069,7361.012885223489,-292.9723959819312,1405.7228852234894
9,Butterscotch Cake,totalValue,9,2026-05-11,4857.66,5662.317604018069,7361.012885223489,804.6576040180689,2503.3528852234895
